"","mc_region","region_name","state","mape","id","desc","date","qtt"
"241","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2020-01-01,800
"242","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2020-02-01,738
"243","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2020-03-01,884
"244","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2020-04-01,798
"245","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2020-05-01,786
"246","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2020-06-01,759
"247","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2020-07-01,835
"248","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2020-08-01,757
"249","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2020-09-01,747
"250","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2020-10-01,752
"251","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2020-11-01,729
"252","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2020-12-01,756
"253","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2021-01-01,766
"254","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2021-02-01,764
"255","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2021-03-01,791
"256","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2021-04-01,796
"257","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2021-05-01,779
"258","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2021-06-01,699
"259","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2021-07-01,746
"260","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2021-08-01,730
"261","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2021-09-01,760
"262","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2021-10-01,762
"263","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2021-11-01,757
"264","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2021-12-01,751
"265","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2022-01-01,773
"266","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2022-02-01,731
"267","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2022-03-01,832
"268","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2022-04-01,755
"269","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2022-05-01,812
"270","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2022-06-01,715
"271","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2022-07-01,765
"272","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2022-08-01,746
"273","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2022-09-01,716
"274","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2022-10-01,697
"275","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2022-11-01,716
"276","5206","Macrorregião Sudoeste","GO","real data","real data","real data",2022-12-01,765
"277","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2023-01-01,755.462406341494
"278","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2023-02-01,745.510684141517
"279","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2023-03-01,841.094435844169
"280","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2023-04-01,815.716705984354
"281","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2023-05-01,821.858308590474
"282","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2023-06-01,751.20379172888
"283","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2023-07-01,764.133183023323
"284","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2023-08-01,735.859992354681
"285","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2023-09-01,745.255079961077
"286","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2023-10-01,741.507414288982
"287","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2023-11-01,703.863017682444
"288","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2023-12-01,723.728824329147
"289","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2024-01-01,755.462406341494
"290","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2024-02-01,745.510684141517
"291","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2024-03-01,841.094435844169
"292","5206","Macrorregião Sudoeste","GO","7.04321846623032","3","ETS(M,N,A)",2024-04-01,815.716705984354
